[Tue Oct 28 00:42:19.372 2008] 0.000 sec [all/1/ext 0 (0,20)] [*] school
[Tue Oct 28 00:42:27.257 2008] 0.000 sec [all/1/ext 6 (0,20)] [*] can
[Tue Oct 28 00:42:50.233 2008] 0.000 sec [all/1/ext 13 (0,20)] [*] education
[Thu Nov 13 18:06:16.449 2008] 0.124 sec [all/1/ext 6 (0,20)] [*] test
[Thu Nov 13 18:07:28.602 2008] 0.000 sec [all/1/ext 6 (0,20)] [*] test
[Thu Nov 13 18:08:00.697 2008] 0.000 sec [all/1/ext 6 (0,20)] [*] test
[Thu Nov 13 18:09:57.469 2008] 0.000 sec [all/1/ext 6 (0,20)] [*] test
[Thu Nov 13 18:12:24.410 2008] 0.000 sec [all/1/ext 6 (0,20)] [*] test
[Thu Nov 13 18:13:11.281 2008] 0.000 sec [all/1/ext 6 (0,20)] [*] test
[Thu Nov 13 18:13:44.099 2008] 0.001 sec [all/1/ext 6 (0,20)] [*] test
[Thu Nov 13 18:14:51.489 2008] 0.001 sec [all/1/ext 6 (0,20)] [*] test
[Thu Nov 13 18:15:34.935 2008] 0.000 sec [all/1/ext 6 (0,20)] [*] test
[Thu Nov 13 18:16:09.472 2008] 0.000 sec [all/1/ext 6 (0,20)] [*] test
[Thu Nov 13 18:36:35.653 2008] 0.130 sec [all/1/ext 32 (0,20)] [*] A-
[Thu Nov 13 18:49:57.400 2008] 0.041 sec [all/1/ext 238 (0,20)] [*] water
[Thu Nov 13 19:01:20.280 2008] 0.100 sec [bool/1/ext 238 (0,20)] [*] water
[Thu Nov 13 19:12:01.525 2008] 0.019 sec [bool/1/ext 238 (0,20)] [*] water
[Thu Nov 13 19:12:24.767 2008] 0.001 sec [bool/1/ext 238 (0,20)] [*] water
[Thu Nov 13 19:15:52.865 2008] 0.004 sec [bool/1/ext 238 (0,20)] [*] water
[Thu Nov 13 19:43:56.432 2008] 0.029 sec [bool/1/ext 238 (0,20)] [*] water
[Thu Nov 13 19:45:08.681 2008] 0.004 sec [bool/1/ext 238 (0,20)] [*] water
[Thu Nov 13 19:45:39.338 2008] 0.001 sec [bool/1/ext 238 (0,20)] [*] water
[Sat Nov 15 23:53:31.897 2008] 0.002 sec [bool/1/ext 0 (0,20)] [*] leximo
[Sat Nov 15 23:54:33.770 2008] 0.000 sec [scan/2/rel 0 (0,20)] [word_core] 
[Sat Nov 15 23:54:45.590 2008] 0.000 sec [bool/1/ext 0 (0,20)] [*] leximod
[Sun Nov 16 00:10:39.292 2008] 0.000 sec [bool/1/ext 0 (0,20)] [*] leximod
